epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2474,0.82733,2.13518,1.16748,0.58845,0.25054,0.47619,0.35213,0.79125,2.32001,1.08401,0.000464425,0.000464425,0.000464425
2,41.8728,0.85452,1.35149,1.15307,0.60581,0.55993,0.60647,0.45347,0.7459,1.43971,1.04252,0.000922131,0.000922131,0.000922131
3,60.1873,0.88714,1.2921,1.18024,0.59104,0.53717,0.505,0.34876,0.81195,3.37556,1.17071,0.00136097,0.00136097,0.00136097
4,78.3071,0.8426,1.19568,1.15881,0.49199,0.66312,0.52241,0.364,0.84809,2.45274,1.1843,0.00134412,0.00134412,0.00134412
5,96.2237,0.86373,1.16331,1.1452,0.64412,0.69159,0.7061,0.50902,0.81283,1.32175,1.16079,0.00131582,0.00131582,0.00131582
6,114.463,0.84948,1.10332,1.14642,0.71244,0.77505,0.75226,0.57624,0.74225,1.14016,1.09177,0.00128753,0.00128753,0.00128753
7,132.52,0.83027,1.04214,1.13399,0.56157,0.64288,0.55367,0.40045,0.76933,2.59493,1.08046,0.00125923,0.00125923,0.00125923
8,150.563,0.79392,1.02789,1.13484,0.71423,0.77687,0.76857,0.59504,0.70539,1.06583,1.07138,0.00123094,0.00123094,0.00123094
9,168.64,0.76673,0.9468,1.11345,0.7216,0.69645,0.7605,0.57935,0.73973,0.98323,1.07813,0.00120265,0.00120265,0.00120265
10,186.64,0.7844,0.89097,1.11772,0.78947,0.72701,0.80454,0.62208,0.6977,0.96536,1.04193,0.00117435,0.00117435,0.00117435
11,204.898,0.76587,0.87817,1.10471,0.78951,0.78513,0.81235,0.63902,0.65865,0.81281,1.02801,0.00114606,0.00114606,0.00114606
12,223.125,0.77145,0.82132,1.09497,0.80269,0.73954,0.83274,0.64831,0.72568,1.02391,1.0429,0.00111776,0.00111776,0.00111776
13,242.168,0.74214,0.8034,1.0973,0.716,0.75707,0.75558,0.58161,0.69145,1.06498,1.05737,0.00108947,0.00108947,0.00108947
14,261.255,0.74899,0.82097,1.10676,0.78515,0.79273,0.82203,0.64164,0.67715,0.79172,1.0329,0.00106118,0.00106118,0.00106118
15,280.478,0.74342,0.78334,1.08189,0.81335,0.7766,0.84702,0.67754,0.66902,0.8743,1.03907,0.00103288,0.00103288,0.00103288
16,299.546,0.72381,0.79129,1.08454,0.6969,0.75395,0.7625,0.61343,0.65129,0.93069,1.01771,0.00100459,0.00100459,0.00100459
17,318.92,0.71538,0.75881,1.07904,0.81267,0.8103,0.82476,0.66403,0.64465,0.79249,1.02319,0.000976293,0.000976293,0.000976293
18,338.279,0.69398,0.71254,1.06244,0.8378,0.80023,0.85231,0.69123,0.62981,0.75071,1.00765,0.000947999,0.000947999,0.000947999
19,356.954,0.68022,0.68199,1.06161,0.79382,0.77228,0.81962,0.68128,0.61091,0.73896,0.99283,0.000919704,0.000919704,0.000919704
20,375.836,0.67116,0.68155,1.05267,0.83424,0.84093,0.88973,0.73062,0.67097,0.70997,1.04097,0.00089141,0.00089141,0.00089141
21,394.745,0.69689,0.66114,1.06274,0.8828,0.83757,0.90991,0.73984,0.65424,0.66318,1.01707,0.000863116,0.000863116,0.000863116
22,413.726,0.68311,0.63883,1.05005,0.81292,0.81086,0.87268,0.71054,0.64964,0.89519,1.01365,0.000834822,0.000834822,0.000834822
23,432.541,0.66924,0.63186,1.04777,0.83139,0.8249,0.85933,0.71216,0.59362,0.72911,1.00651,0.000806528,0.000806528,0.000806528
24,451.386,0.64977,0.63731,1.04544,0.88576,0.83804,0.89978,0.7484,0.56675,0.66091,0.97582,0.000778233,0.000778233,0.000778233
25,471.005,0.66831,0.65544,1.04483,0.81214,0.81847,0.88049,0.71626,0.62645,0.86577,1.00286,0.000749939,0.000749939,0.000749939
26,494.912,0.6344,0.64072,1.03644,0.80732,0.85184,0.88559,0.73799,0.57193,0.78334,0.98133,0.000721645,0.000721645,0.000721645
27,515.931,0.66683,0.61154,1.03566,0.81744,0.8126,0.85273,0.71115,0.56084,0.73507,0.97467,0.000693351,0.000693351,0.000693351
28,535.996,0.62528,0.59423,1.02649,0.83471,0.86462,0.89322,0.7261,0.58735,0.71223,0.98484,0.000665057,0.000665057,0.000665057
29,555.537,0.61484,0.55512,1.01307,0.87074,0.85352,0.91533,0.77202,0.59765,0.64305,0.98356,0.000636762,0.000636762,0.000636762
30,581.977,0.62104,0.5494,1.00641,0.83633,0.78009,0.84944,0.70274,0.59755,0.73349,0.97953,0.000608468,0.000608468,0.000608468
31,620.347,0.63871,0.55259,1.02113,0.84591,0.83792,0.87892,0.71977,0.61158,0.74114,0.99266,0.000580174,0.000580174,0.000580174
32,656.422,0.60133,0.54127,1.01375,0.88125,0.80542,0.89798,0.75571,0.60188,0.70034,0.98694,0.00055188,0.00055188,0.00055188
33,694.113,0.6005,0.54,1.01333,0.85157,0.82004,0.8761,0.72643,0.61124,0.83449,0.99762,0.000523586,0.000523586,0.000523586
34,728.573,0.5953,0.53217,1.02289,0.79756,0.81343,0.8622,0.70704,0.58578,0.6386,0.98829,0.000495291,0.000495291,0.000495291
35,761.279,0.60559,0.52506,1.01404,0.84313,0.78679,0.88702,0.74164,0.59873,0.93714,0.99123,0.000466997,0.000466997,0.000466997
36,792.866,0.56469,0.48797,1.00607,0.87294,0.86496,0.92451,0.77382,0.57546,0.5649,0.97511,0.000438703,0.000438703,0.000438703
37,824.006,0.61001,0.51939,1.01521,0.86143,0.8494,0.89175,0.74902,0.54785,0.62087,0.96631,0.000410409,0.000410409,0.000410409
38,855.385,0.58022,0.51403,1.01025,0.82156,0.8947,0.91839,0.77472,0.57201,0.62325,0.96957,0.000382115,0.000382115,0.000382115
39,886.279,0.56244,0.48098,0.98749,0.90898,0.84248,0.93381,0.78589,0.55011,0.5585,0.96431,0.00035382,0.00035382,0.00035382
40,917.38,0.57214,0.48803,0.98416,0.89443,0.82214,0.9139,0.76285,0.56975,0.65995,0.97599,0.000325526,0.000325526,0.000325526
41,947.128,0.50412,0.40389,0.9252,0.90249,0.84683,0.91375,0.76911,0.55024,0.57498,0.96712,0.000297232,0.000297232,0.000297232
42,970.568,0.49557,0.39455,0.92278,0.88675,0.82985,0.89592,0.75695,0.55957,0.61311,0.9645,0.000268938,0.000268938,0.000268938
43,989.225,0.4943,0.37654,0.92024,0.86413,0.82682,0.89271,0.75578,0.53525,0.65669,0.96536,0.000240644,0.000240644,0.000240644
44,1017.44,0.4952,0.37276,0.92307,0.90142,0.83121,0.92269,0.77353,0.56751,0.59591,0.96541,0.000212349,0.000212349,0.000212349
45,1051.79,0.48604,0.36881,0.91703,0.88674,0.82748,0.91657,0.77205,0.54338,0.65254,0.97263,0.000184055,0.000184055,0.000184055
46,1091.55,0.47313,0.35487,0.90559,0.88881,0.84252,0.91184,0.77206,0.54703,0.58534,0.96209,0.000155761,0.000155761,0.000155761
47,1129.47,0.45855,0.3405,0.89884,0.89277,0.83343,0.91608,0.77374,0.55182,0.57378,0.96361,0.000127467,0.000127467,0.000127467
48,1162.63,0.46004,0.32966,0.90286,0.87932,0.86114,0.91573,0.77901,0.52152,0.55952,0.95344,9.91726e-05,9.91726e-05,9.91726e-05
49,1179.73,0.44895,0.34391,0.89705,0.89578,0.84544,0.92044,0.7837,0.53064,0.55922,0.95582,7.08784e-05,7.08784e-05,7.08784e-05
50,1197.02,0.44218,0.33015,0.88939,0.89133,0.85088,0.91881,0.77655,0.53813,0.55966,0.95724,4.25842e-05,4.25842e-05,4.25842e-05
